kepoi_name,median_candidate_probability,lower_90pct,upper_90pct,interval_width,probability_std
K01560.01,0.6233393521237394,0.12715526348348224,0.9621432357159542,0.8349879722324719,0.28286926950842817
K00969.01,0.4130583736879164,0.07879403718466653,0.84336704660384,0.7645730094191735,0.2560424983071394
K05606.01,0.11471818521451244,0.03910234515761045,0.797085675565827,0.7579833304082165,0.21217221681913445
K03411.01,0.5595640286515711,0.14142306598534962,0.8992135322552776,0.757790466269928,0.2264749126771893
K00606.01,0.5058052119289369,0.1054653307607368,0.8506032227809437,0.7451378920202069,0.25128935116213413
K03891.01,0.2269336018131994,0.10382865479511472,0.8399893210559931,0.7361606662608784,0.18552514760222255
K03811.01,0.5962267411226289,0.17134237397894556,0.8930178510937468,0.7216754771148012,0.24476924546177764
K02379.01,0.32284429083256405,0.13357752508752663,0.8496066802915642,0.7160291552040375,0.2114145322078027
K01551.01,0.46352333397563994,0.06972629740434282,0.7833628930437141,0.7136365956393713,0.22949343007625903
K01227.01,0.26697460725276945,0.09008504977163428,0.8029474420724335,0.7128623923007993,0.211723064468491
K01468.01,0.41604990425512356,0.17353601924401868,0.8794570320300052,0.7059210127859865,0.2533065705972397
K01547.01,0.6345945506437873,0.17225343054245504,0.8728174016067657,0.7005639710643107,0.22941598878686803
K01918.01,0.5704607249100004,0.11652212497063905,0.8155830978904933,0.6990609729198543,0.2613622522709204
K01638.01,0.6005647889606898,0.22044821781448135,0.9144622948010553,0.694014076986574,0.28421799927260233
K01048.01,0.17393370549979525,0.06228744955696353,0.7559278370811223,0.6936403875241588,0.19671227106143402
K07832.01,0.4529873299174879,0.00998727368660832,0.6895532884927288,0.6795660148061204,0.2586754251396126
K00728.01,0.7086921464114807,0.25648159425390676,0.9351883663640074,0.6787067721101006,0.21566951138735987
K03902.01,0.5477502018826008,0.22931405886905123,0.9075306926976909,0.6782166338286397,0.21688611982294773
K04756.01,0.3642571865857388,0.13042144870868114,0.791074231535543,0.6606527828268619,0.2110720078298293
K03382.01,0.23545690016510268,0.09239517955439433,0.7513863613882587,0.6589911818338643,0.1991251075586606
K03471.01,0.10038017156707463,0.0224246487314369,0.6803598871829328,0.6579352384514959,0.22340043561551587
K06630.01,0.5606669131070138,0.1559933896832872,0.8084455114889398,0.6524521218056527,0.21123304843329624
K00452.01,0.5433980407422562,0.2262672436576318,0.8771665797698791,0.6508993361122473,0.199407985612513
K03771.01,0.32656603022581865,0.06362916359685905,0.7117602544450548,0.6481310908481956,0.2159396262930858
K01796.01,0.2376413920382645,0.09939212673521955,0.7467857778929615,0.647393651157742,0.2209825789234364
K04433.01,0.3856145785004126,0.17553816659252552,0.8108810444352627,0.6353428778427371,0.2256522645632593
K01734.01,0.7327032319085167,0.23965519471938368,0.8691016508718384,0.6294464561524548,0.1760710035591626
K05743.01,0.11715061174837244,0.03963894893252561,0.6661174614955835,0.6264785125630579,0.1685389793173002
K01416.01,0.22071431308813655,0.09343258297290054,0.7199096739463626,0.626477090973462,0.17882519418232232
K00744.02,0.3268195351358256,0.12721149315613073,0.7444232052360351,0.6172117120799043,0.1726844865181985
K05323.01,0.15294932273877543,0.09325001023923088,0.7078159981853401,0.6145659879461093,0.15620216550405217
K02142.01,0.6337561419493696,0.28171530772164294,0.8951724324701131,0.6134571247484701,0.18570471054731846
K00466.01,0.7082766309232493,0.31014498215908975,0.9231735975496205,0.6130286153905307,0.18684160203358097
K06314.01,0.25005547274428164,0.08997723350708384,0.7000398212330882,0.6100625877260043,0.19315689752187024
K01469.01,0.26028806845903185,0.12286669560449667,0.7258232309118451,0.6029565353073484,0.18748970417779606
K04527.01,0.4208633763632763,0.16471063749708584,0.7667087613045275,0.6019981238074417,0.19582788661850148
K02169.04,0.5107167722114391,0.12984699542934042,0.7312139026935602,0.6013669072642198,0.1604567582673707
K03780.01,0.10016290496704804,0.024298830567701418,0.6222478095676064,0.597948978999905,0.20768277513941752
K02262.01,0.3238303735982577,0.2151243730880915,0.8106444087614879,0.5955200356733964,0.17335464390149016
K07714.01,0.4126491956834124,0.1643769661285303,0.7591139204989863,0.5947369543704559,0.18112434142260772
K00929.02,0.5915706278066767,0.27787908485163304,0.8719695770765252,0.5940904922248922,0.18490954994649167
K00532.01,0.8357424224058336,0.3741937793471688,0.9668418886645574,0.5926481093173886,0.2021349833491853
K04800.01,0.4152047799218411,0.07817897002007607,0.6697992429840218,0.5916202729639457,0.2118987629923758
K03627.01,0.18990994542376297,0.07356542302993993,0.6638059765617459,0.5902405535318059,0.20329816433360162
K07618.01,0.3689763089460423,0.06105206491924923,0.6507747092951561,0.5897226443759069,0.18611602292491175
