dimension,group,signals,observed_candidate_fraction,mean_predicted_probability,brier_score,roc_auc
magnitude_band,bright_<=14,609,0.451559934318555,0.46252914829530606,0.10373068155815938,0.9291997822536744
magnitude_band,mid_14_to_15,411,0.5231143552311436,0.5331711192962526,0.10379704376104483,0.9286663502610346
magnitude_band,faint_>15,590,0.535593220338983,0.5206580951436038,0.10453800705269649,0.9254019218331333
snr_band,low_<20,583,0.5883361921097771,0.5950214227416281,0.15511852571421866,0.8504859086491741
snr_band,medium_20_to_100,605,0.631404958677686,0.6393596955882607,0.08913637602090406,0.9289085060925505
snr_band,high_>100,408,0.19117647058823528,0.17745597112176217,0.051295542223673836,0.9552836052836053
