confidence_bin,signals,min_probability,mean_probability,max_probability,observed_candidate_fraction
Very low,326,0.0017630493512266374,0.012148430378482148,0.026580485709496036,0.02147239263803681
Low,312,0.026796189450555202,0.10436141208089939,0.2653176880909836,0.10576923076923077
Medium,315,0.26914801697933083,0.5453540977299931,0.7879405860373336,0.5587301587301587
High,313,0.7888058594384265,0.8677893768261816,0.9235617892449746,0.8402555910543131
Very high,344,0.9245434668164157,0.9537095723056948,0.9824338755543269,0.9505813953488372
